22		0.6	5	1	24	1	2
64		0.6	5	1	24	1	2
79		0.6	5	1	24	1	2
87	0106000020E610000001000000010300000001000000050000000000000000405940000000000000084000000000004059400000000000001040000000000080594000000000000010400000000000805940000000000000084000000000004059400000000000000840	0.6	5	1	24	1	2
96		0.6	5	1	24	1	2
120		0.6	5	1	24	1	2
121		0.6	5	1	24	1	2
122		0.6	5	1	24	1	2
123		0.6	5	1	24	1	2
154		0.6	5	1	24	1	2
157		0.6	5	1	24	1	2
173		0.6	5	1	24	1	2
188		0.6	5	1	24	1	2
189		0.6	5	1	24	1	2
190		0.6	5	1	24	1	2
191		0.6	5	1	24	1	2
197		0.6	5	1	24	1	2
202		0.6	5	1	24	1	2
211		0.6	5	1	24	1	2
240		0.6	5	1	24	1	2
249		0.6	5	1	24	1	2
250		0.6	5	1	24	1	2
251		0.6	5	1	24	1	2
252		0.6	5	1	24	1	2
253		0.6	5	1	24	1	2
277		0.6	5	1	24	1	2
316		0.6	5	1	24	1	2
318		0.6	5	1	24	1	2
319		0.6	5	1	24	1	2
356		0.6	5	1	24	1	2
358		0.6	5	1	24	1	2
359		0.6	5	1	24	1	2
360		0.6	5	1	24	1	2
367		0.6	5	1	24	1	2
391		0.6	5	1	24	1	2
395		0.6	5	1	24	1	2
